Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_b,h,A,C,D,FC US06,FC WLTC,E_f
Chevrolet Silverado 1500,gas,Truck (Crew Cab),four wheel drive,2267.96185,3.74396,0.7,0.42,2.8,0.0,0.36999999999999994,3337.305862275,0.540225,1700.9713875000002,2.662358246455487,2.092550398479488,863.0
Chevrolet Sonic,gas,Sedan,front wheel drive,1295.91340109,2.52476,0.55,0.27,2.2,0.0,0.22000000000000003,1999.1019505911524,0.5457754043746503,2017.0054755604722,1.943697367612461,1.4135151744875003,439.0
Chevrolet Spark,gas,Hatchback,front wheel drive,1048.70555944,2.38506,0.54,0.3,2.1,0.0,0.21000000000000002,1621.4892506460342,0.5788621791950557,1635.929727934814,1.6483184158862974,1.188697903932297,324.0
Chevrolet Trax,gas,SUV,front wheel drive,1417.02256388,2.55524,0.52,0.35,2.6,0.0,0.19,2181.447802694612,0.8361156054460336,2204.2764336108157,2.2309976224096832,1.5858819719158623,503.0
Chrysler 300,gas,Sedan,rear wheel drive,1986.7345806,3.05308,0.55,0.27,2.2,0.0,0.22000000000000003,2808.140407058479,0.545710307337695,2886.906983652291,2.6220309224431073,1.914393743779836,665.0
Dodge Challenger,gas,Coupe,all wheel drive,1849.74968486,2.95148,0.52,0.26,2.0,0.0,0.19,2721.9066612714896,0.23887500000000003,1387.3122636449998,2.084255013735546,1.6784605211971084,665.0
Dodge Charger,gas,Sedan,rear wheel drive,1847.48172301,3.048,0.55,0.27,2.2,0.0,0.22000000000000003,2611.1424324974123,0.5457082578457417,2684.3948805170844,2.4589760002628753,1.7932144036684678,665.0
Dodge Durango,gas,SUV,all wheel drive,2457.10986829,3.0429199999999996,0.52,0.35,2.6,0.0,0.19,3615.637171188735,0.4180312500000001,1842.8324012175,2.8023725469156884,2.226224224717722,885.0
Dodge Journey,gas,SUV,front wheel drive,1838.86346798,2.89052,0.52,0.35,2.6,0.0,0.19,2815.7705620802512,0.8361034221469287,2848.0351931056434,2.754116814523782,1.975365830466682,737.0
FIAT 124 Spider,gas,Convertible,rear wheel drive,1123.54830049,2.30886,0.53,0.31,2.1,0.0,0.2,1569.6797082585085,0.5980535544130219,1616.2695765470269,1.622126509452393,1.1636484620257028,428.0
FIAT 500L,gas,Wagon,front wheel drive,1475.9895719800002,2.6111199999999997,0.56,0.29,2.2,0.0,0.23000000000000004,2274.351213899932,0.5861982447163451,2294.3930140935927,2.1892406309692536,1.5907417904814474,475.0
FIAT 500X,gas,SUV,all wheel drive,1499.12278285,2.57048,0.52,0.35,2.6,0.0,0.19,2205.9591749637752,0.4180312500000001,1124.3420871375001,1.802458004615713,1.420845461785737,457.0
Ford EcoSport,gas,SUV,front wheel drive,1370.30254977,2.51968,0.52,0.35,2.6,0.0,0.19,2110.900111738634,0.8361174162077828,2132.739291408204,2.172831612673012,1.5425697778856344,496.0
Ford Edge,gas,SUV,front wheel drive,1795.3186004600002,2.8498799999999997,0.52,0.35,2.6,0.0,0.19,2750.685126589529,0.8361044147626311,2781.902598200523,2.7004233965370585,1.9353956517776332,665.0
Ford Expedition,gas,SUV,rear wheel drive,2434.8838421600003,3.1115,0.52,0.35,2.6,0.0,0.19,3447.9607805298483,0.8360285082153132,3540.17834402101,3.2869922722861187,2.367799566113908,899.0
Ford Explorer,gas,SUV,all wheel drive,1970.85884765,3.02514,0.52,0.35,2.6,0.0,0.19,2900.118794316975,0.4180312500000001,1478.1441357375,2.2948401655967587,1.8174334889870964,644.0
Ford F-150,gas,Truck (SuperCab),four wheel drive,2179.51133785,3.683,0.7,0.42,2.8,0.0,0.36999999999999994,3207.150933646275,0.540225,1634.6335033875,2.5700365912715393,2.0181901433792313,827.0
Ford Fusion,gas,Sedan,front wheel drive,1574.8727086400002,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2416.108295159952,0.5457686898258357,2440.522847464149,2.2876689338788148,1.6695897167999674,593.0
Ford Mustang,gas,Coupe,rear wheel drive,1746.3306245,2.72034,0.52,0.26,2.0,0.0,0.19,2459.5998454064556,0.4777229180999515,2527.8902812445535,2.301438180197816,1.685835473455293,575.0
Ford Ranger,gas,Truck (SuperCab),rear wheel drive,1880.14037365,3.2207199999999996,0.7,0.42,2.8,0.0,0.36999999999999994,2648.695496522929,1.0803931125495532,2736.622922255488,2.7443883863086884,1.928358285540771,647.0
Ford Shelby GT350,gas,Coupe,rear wheel drive,1725.9189678500002,2.72034,0.52,0.26,2.0,0.0,0.19,2430.8512757848225,0.47772259783726967,2498.339292294565,2.2776435429049067,1.6681515572793555,575.0
Genesis G70,gas,Sedan,rear wheel drive,1594.83077292,2.83464,0.55,0.27,2.2,0.0,0.22000000000000003,2247.373237123029,0.5457036257071403,2311.8349589304726,2.1582021810477716,1.5695665314682439,568.0
Genesis G80,gas,Sedan,rear wheel drive,2049.78392003,3.0099,0.55,0.27,2.2,0.0,0.22000000000000003,2895.618301167941,0.5457111437061035,2977.2112316462967,2.6945224850829828,1.9682359242225824,730.0
GMC Acadia,gas,SUV,all wheel drive,1953.16874522,2.8575,0.52,0.35,2.6,0.0,0.19,2874.08780859123,0.4180312500000001,1464.8765589149998,2.276375834559974,1.8025614379670432,791.0
GMC Canyon,gas,Truck (Crew Cab),four wheel drive,2013.49653043,3.25882,0.7,0.42,2.8,0.0,0.36999999999999994,2962.860144527745,0.540225,1510.1223978224998,2.3967559461570582,1.8786216645756775,755.0
GMC Sierra 1500,gas,Truck (Double Cab),four wheel drive,2336.0007055,3.7465,0.7,0.42,2.8,0.0,0.36999999999999994,3437.4250381432503,0.540225,1752.000529125,2.7333749042892905,2.1497505947104525,863.0
GMC Terrain,gas,SUV,all wheel drive,1724.10459837,2.7254199999999997,0.52,0.35,2.6,0.0,0.19,2537.019916501455,0.4180312500000001,1293.0784487775,2.03728641985283,1.6099874439894617,561.0
GMC Yukon,gas,SUV,rear wheel drive,2486.5933723400003,2.9463999999999997,0.52,0.35,2.6,0.0,0.19,3513.767960072481,0.8360292150510762,3609.205254457954,3.341775435742306,2.408395977572048,935.0
GMC Yukon XL,gas,SUV,four wheel drive,2705.67848705,3.302,0.52,0.35,2.6,0.0,0.19,3981.405893694075,0.4180312500000001,2029.2588652875002,3.0618200702018545,2.435195608281514,1115.0
Honda Accord,gas,Sedan,front wheel drive,1451.04199163,2.82956,0.55,0.27,2.2,0.0,0.22000000000000003,2226.8130043884375,0.5457713517531729,2249.2010437594267,2.1317389583239894,1.553426034421836,532.0
Honda Civic,gas,Hatchback,front wheel drive,1343.08700757,2.70002,0.54,0.3,2.1,0.0,0.21000000000000002,2064.434414186141,0.5788512894404829,2085.2159857872425,2.0135527878184596,1.4606515397218127,446.0
Honda CR-V,gas,SUV,front wheel drive,1541.30687326,2.65938,0.52,0.35,2.6,0.0,0.19,2368.4949107217835,0.8361113229395024,2394.0713874489616,2.385245141884603,1.7007286834351705,503.0
Honda Fit,gas,Hatchback,front wheel drive,1199.29822628,2.5298399999999996,0.54,0.3,2.1,0.0,0.21000000000000002,1848.962581317416,0.5788559405122975,1866.4684856562094,1.8358396421489942,1.3283427033204582,381.0
Honda HR-V,gas,SUV,front wheel drive,1342.17982283,2.6111199999999997,0.52,0.35,2.6,0.0,0.19,2064.1903278926043,0.8361185669651517,2086.206858425269,2.134509866531729,1.5139630266413726,475.0
Honda Passport,gas,SUV,all wheel drive,1921.87087169,2.8194,0.52,0.35,2.6,0.0,0.19,2828.0329876918354,0.4180312500000001,1441.4031537675,2.243708171956419,1.776249347700801,701.0
Honda Pilot,gas,SUV,all wheel drive,1959.06544603,2.8194,0.52,0.35,2.6,0.0,0.19,2882.7648038331454,0.4180312500000001,1469.2990845225,2.2825306115722386,1.8075187883070605,701.0
Honda Ridgeline,gas,Truck (Crew Cab),all wheel drive,2047.96955055,3.18008,0.7,0.42,2.8,0.0,0.36999999999999994,3013.5871936343246,0.540225,1535.9771629124998,2.4327377194595186,1.9076030973327003,701.0
Hyundai Accent,gas,Sedan,front wheel drive,1225.15299137,2.58064,0.55,0.27,2.2,0.0,0.22000000000000003,1887.9696690369512,0.5457775938023779,1905.3299049667903,1.852301267997889,1.3453720741869974,428.0
Hyundai Elantra,gas,Sedan,front wheel drive,1295.91340109,2.70002,0.55,0.27,2.2,0.0,0.22000000000000003,1992.84990708077,0.5457754043746503,2012.044333583642,1.9388573778983318,1.4097932653275922,503.0
Hyundai Elantra GT,gas,Hatchback,front wheel drive,1334.92234491,2.6492199999999997,0.54,0.3,2.1,0.0,0.21000000000000002,2053.6397215089487,0.5788515267052426,2073.949060084809,2.0045793578592424,1.4539970991920428,503.0
Hyundai Kona,gas,SUV,all wheel drive,1476.89675672,2.60096,0.52,0.35,2.6,0.0,0.19,2173.25357751348,0.4180312500000001,1107.67256754,1.7792592297233383,1.4021600643502896,475.0
Hyundai Palisade,gas,SUV,all wheel drive,1989.90972719,2.90068,0.52,0.35,2.6,0.0,0.19,2928.1521635600852,0.4180312500000001,1492.4322953925,2.3147248297902276,1.833449543931766,676.0
Hyundai Santa Fe,gas,SUV,all wheel drive,1694.16750195,2.76606,0.52,0.35,2.6,0.0,0.19,2492.967479119425,0.4180312500000001,1270.6256264625001,2.006039090405955,1.5848193576478393,676.0
Hyundai Sonata,gas,Sedan,front wheel drive,1513.18414632,2.83972,0.55,0.27,2.2,0.0,0.22000000000000003,2321.8218484746903,0.5457699614513261,2345.2237833921367,2.2100007170189935,1.6117292461474269,572.0
Hyundai Tucson,gas,SUV,all wheel drive,1645.17952599,2.6695399999999996,0.52,0.35,2.6,0.0,0.19,2420.881672494285,0.4180312500000001,1233.8846444925,1.9549070967656148,1.5436352163615432,590.0
Hyundai Veloster,gas,Hatchback,front wheel drive,1225.15299137,2.6492199999999997,0.54,0.3,2.1,0.0,0.21000000000000002,1884.7709438653312,0.5788550236881401,1903.447063804572,1.8655159113033586,1.3503834212567563,475.0
Hyundai Venue,gas,Hatchback,front wheel drive,1241.93590906,2.51968,0.54,0.3,2.1,0.0,0.21000000000000002,1915.0656676192998,0.5788544489903978,1933.1042178134082,1.8902511172897294,1.3688928702220122,428.0
INFINITI Q50,gas,Sedan,rear wheel drive,1692.80672484,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2385.977658121051,0.5457055861319204,2454.3206655454924,2.272925466092903,1.6548264981022995,719.0
INFINITI Q60,gas,Coupe,rear wheel drive,1716.84712045,2.8498799999999997,0.52,0.26,2.0,0.0,0.19,2422.793629092187,0.4777224530540789,2489.131595246278,2.2707630701571144,1.663116906951301,719.0
INFINITI QX50,gas,SUV,all wheel drive,1853.83201619,2.79908,0.52,0.35,2.6,0.0,0.19,2727.913811823585,0.4180312500000001,1390.3740121425,2.1726915141226173,1.7190491514698338,575.0
INFINITI QX60,gas,SUV,front wheel drive,2003.06390592,2.90068,0.52,0.35,2.6,0.0,0.19,3066.7672441903005,0.8361000673798415,3101.9600306876823,2.960927796626575,2.1294138412276835,701.0
INFINITI QX80,gas,SUV,four wheel drive,2687.98838462,3.0759399999999997,0.52,0.35,2.6,0.0,0.19,3955.3749079683303,0.4180312500000001,2015.991288465,3.0433557391650643,2.420323557261464,935.0
Jaguar E-PACE,gas,SUV,all wheel drive,1830.24521295,2.6822399999999997,0.52,0.35,2.6,0.0,0.19,2693.2058308559253,0.4180312500000001,1372.6839097125,2.148072406073564,1.6992197501097674,651.0
Jaguar F-PACE,gas,SUV,all wheel drive,1755.4024719,2.87274,0.52,0.35,2.6,0.0,0.19,2583.0747374008497,0.4180312500000001,1316.551853925,2.069954082456381,1.6362995342557072,780.0
Jaguar F-TYPE,gas,Convertible,rear wheel drive,1544.48201985,2.62128,0.53,0.31,2.1,0.0,0.2,2170.8415061008095,0.5980679149447666,2232.753617051909,2.1193673596128786,1.5333155472193853,665.0
Jaguar XE,gas,Sedan,all wheel drive,1614.7888372,2.83464,0.55,0.27,2.2,0.0,0.22000000000000003,2376.1617739398002,0.27286875000000005,1211.0916279,1.854982583728603,1.4879794070562191,597.0
Jaguar XF,gas,Sedan,rear wheel drive,1628.3966083,2.9591,0.55,0.27,2.2,0.0,0.22000000000000003,2298.7689531293922,0.5457043238978506,2363.8123232677826,2.200546698869043,1.6011091768762424,701.0
Jeep Cherokee,gas,SUV,front wheel drive,1628.3966083,2.70256,0.52,0.35,2.6,0.0,0.19,2500.554252040979,0.8361087116153318,2527.876769502584,2.4941031454913176,1.7817966577515556,568.0
Jeep Compass,gas,SUV,front wheel drive,1444.23810608,2.63652,0.52,0.35,2.6,0.0,0.19,2220.1839909328155,0.8361146046371,2244.0195560264715,2.2630411875141383,1.6097029323454346,485.0
Jeep Gladiator,gas,Truck (Crew Cab),four wheel drive,2140.9559864000003,3.48742,0.7,0.42,2.8,0.0,0.36999999999999994,3150.4167339876003,0.540225,1605.7169898000002,2.5297938184990514,1.9857766988483518,791.0
Jeep Grand Cherokee,gas,SUV,four wheel drive,2097.8647112500003,2.91338,0.52,0.35,2.6,0.0,0.19,3087.0079226043754,0.4180312500000001,1573.3985334375002,2.4274045935531965,1.924207188618232,885.0
Jeep Renegade,gas,SUV,front wheel drive,1386.17828272,2.57048,0.52,0.35,2.6,0.0,0.19,2133.380154052775,0.8361167872078832,2155.827459628648,2.1914330831423987,1.55639596058167,457.0
Jeep Wrangler,gas,SUV,four wheel drive,1800.7617089,2.45872,0.52,0.35,2.6,0.0,0.19,2649.82085464635,0.4180312500000001,1350.5712816750001,2.11729852101225,1.6744329984096824,629.0
Kia Forte,gas,Sedan,front wheel drive,1252.82212594,2.70002,0.55,0.27,2.2,0.0,0.22000000000000003,1926.5843343917,0.5457767082306187,1945.1558040786008,1.8842917388889353,1.3691358610568058,503.0
Kia Optima,gas,Sedan,front wheel drive,1490.05093545,2.80416,0.55,0.27,2.2,0.0,0.22000000000000003,2287.566271407935,0.5457704654584357,2310.3602366592954,2.1817279654109263,1.590687450807146,665.0
Kia Rio,gas,Sedan,front wheel drive,1255.09008779,2.58064,0.55,0.27,2.2,0.0,0.22000000000000003,1934.1029523233042,0.5457766373743355,1951.875612259802,1.890284319397207,1.373675455140213,428.0
Kia Sorento,gas,SUV,front wheel drive,1799.85452416,2.77876,0.52,0.35,2.6,0.0,0.19,2760.546583310308,0.8361043091240482,2791.3084260851588,2.708418513078655,1.9413998463869666,676.0
Kia Soul,gas,Wagon,front wheel drive,1290.01670028,2.60096,0.56,0.29,2.2,0.0,0.23000000000000004,1988.1520290222663,0.5862033982570719,2005.6528508749482,1.9536070689888902,1.415156121399539,514.0
Kia Sportage,gas,SUV,all wheel drive,1563.98649176,2.6695399999999996,0.52,0.35,2.6,0.0,0.19,2301.40612262484,0.4180312500000001,1172.98986882,1.8701605517506084,1.4753763155259247,590.0
Kia Stinger,gas,Sedan,rear wheel drive,1736.80518473,2.90576,0.55,0.27,2.2,0.0,0.22000000000000003,2449.978387123909,0.5457063945470967,2519.727772762532,2.3258108991808824,1.694162744150997,572.0
Kia Telluride,gas,SUV,all wheel drive,1974.94117898,2.90068,0.52,0.35,2.6,0.0,0.19,2906.12594486907,0.4180312500000001,1481.205884235,2.299101165066791,1.820865500760952,676.0
Lamborghini Aventador,gas,Coupe,all wheel drive,1574.8727086400002,2.70002,0.52,0.26,2.0,0.0,0.19,2317.42519076376,0.23887500000000003,1181.15453148,1.7973477160869735,1.4473717284240104,809.0
Lamborghini Huracan,gas,Coupe,all wheel drive,1422.01207995,2.61874,0.52,0.26,2.0,0.0,0.19,2092.4907756464254,0.23887500000000003,1066.5090599625,1.6377969581536898,1.3188619542251094,759.0
Lamborghini Urus,gas,SUV,all wheel drive,2199.9229945,3.00228,0.52,0.35,2.6,0.0,0.19,3237.1866864067506,0.4180312500000001,1649.942245875,2.533929580303904,2.0100074829646792,712.0
Land Rover Defender,gas,SUV,all wheel drive,2184.0472615500003,3.02006,0.52,0.35,2.6,0.0,0.19,3213.8255453708252,0.4180312500000001,1638.0354461625002,2.5173590268093475,1.9966607705107875,856.0
Land Rover Discovery,gas,SUV,four wheel drive,2147.75987195,2.921,0.52,0.35,2.6,0.0,0.19,3160.428651574425,0.4180312500000001,1610.8199039625001,2.479483475964653,1.9661539991876078,845.0
Land Rover Discovery Sport,gas,SUV,all wheel drive,1830.24521295,2.74066,0.52,0.35,2.6,0.0,0.19,2693.2058308559253,0.4180312500000001,1372.6839097125,2.148072406073564,1.6992197501097674,637.0
Land Rover Range Rover,gas,SUV,four wheel drive,2374.5560569500003,2.921,0.52,0.35,2.6,0.0,0.19,3494.1592378019254,0.4180312500000001,1780.9170427125002,2.716205668744001,2.1568213199574875,982.0
Land Rover Range Rover Evoque,gas,SUV,all wheel drive,1784.88597595,2.6797,0.52,0.35,2.6,0.0,0.19,2626.459713610425,0.4180312500000001,1338.6644819625,2.1007279675176935,1.6610862859557907,637.0
Land Rover Range Rover Sport,gas,SUV,four wheel drive,2322.8465267700003,2.9235399999999996,0.52,0.35,2.6,0.0,0.19,3418.0686641420552,0.4180312500000001,1742.1348950775002,2.6622330087903117,2.113349170821954,993.0
Land Rover Range Rover Velar,gas,SUV,all wheel drive,1912.79902429,2.87274,0.52,0.35,2.6,0.0,0.19,2814.6837642427354,0.4180312500000001,1434.5992682175001,2.234239284245248,1.7686226548700041,597.0
Lexus ES,gas,Sedan,front wheel drive,1655.15855813,2.8702,0.55,0.27,2.2,0.0,0.22000000000000003,2538.514420673639,0.5457671768120128,2564.3103571120423,2.388515976745918,1.7447119750108582,572.0
Lexus GS,gas,Sedan,all wheel drive,1764.9279116700002,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2597.0914220224054,0.27286875000000005,1323.6959337525002,2.011692675348528,1.6142011734058792,626.0
Lexus GX,gas,SUV,four wheel drive,2325.11448862,2.7889199999999996,0.52,0.35,2.6,0.0,0.19,3421.40597000433,0.4180312500000001,1743.835866465,2.6646002307181056,2.115255844029653,827.0
Lexus IS,gas,Sedan,rear wheel drive,1625.22146171,2.79908,0.55,0.27,2.2,0.0,0.22000000000000003,2288.9666792821663,0.5457042590876923,2354.900051786491,2.192699312626616,1.5951779246325204,626.0
Lexus LC,gas,Coupe,rear wheel drive,1941.3753436,2.8702,0.52,0.26,2.0,0.0,0.19,2740.4403090681353,0.47772563877435736,2815.365074716645,2.5336091698759886,1.858485119932828,780.0
Lexus LS,gas,Sedan,rear wheel drive,2135.05928559,3.1242,0.55,0.27,2.2,0.0,0.22000000000000003,3020.5019977194947,0.5457121963282079,3104.6555507661806,2.7976748826372857,2.044976543604375,780.0
Lexus LX,gas,SUV,four wheel drive,2721.55422,2.8498799999999997,0.52,0.35,2.6,0.0,0.19,4004.7670347300004,0.4180312500000001,2041.165665,3.0783906236964063,2.448542320735407,885.0
Lexus NX,gas,SUV,all wheel drive,1837.0490985,2.65938,0.52,0.35,2.6,0.0,0.19,2703.2177484427502,0.4180312500000001,1377.786823875,2.1551740718569445,1.7049397697328643,572.0
Lexus RC,gas,Coupe,rear wheel drive,1695.07468669,2.7304999999999997,0.52,0.26,2.0,0.0,0.19,2387.789751147623,0.47772209925199166,2454.0012278846425,2.2419852970724,1.6416570974820486,626.0
Lexus RX,gas,SUV,all wheel drive,1989.90972719,2.7889199999999996,0.52,0.35,2.6,0.0,0.19,2928.1521635600852,0.4180312500000001,1492.4322953925,2.3147248297902276,1.833449543931766,690.0
Lexus UX,gas,SUV,front wheel drive,1500.02996759,2.63906,0.52,0.35,2.6,0.0,0.19,2305.851955239548,0.8361126665202759,2330.610706938526,2.3336102988544822,1.6622746279126894,446.0
Lincoln Aviator,gas,SUV,rear wheel drive,2160.91405068,3.02514,0.52,0.35,2.6,0.0,0.19,3056.713782998669,0.8360241988364753,3139.0743253587293,2.9634075358080603,2.127224286648672,726.0
Lincoln Continental,gas,Sedan,all wheel drive,1915.97417088,2.99466,0.55,0.27,2.2,0.0,0.22000000000000003,2819.35599244992,0.27286875000000005,1436.98062816,2.1693496557395795,1.7411856090386226,647.0
Lincoln Corsair,gas,SUV,front wheel drive,1679.19895374,2.71018,0.52,0.35,2.6,0.0,0.19,2578.25023107434,0.836107313439044,2606.4705689782404,2.558119318100819,1.8294813919481738,593.0
Lincoln MKZ,gas,Sedan,front wheel drive,1700.5177951300002,2.8498799999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2608.8680871413194,0.5457663851650798,2635.19578569826,2.446418584494339,1.7878668062679735,593.0
Lincoln Nautilus,gas,SUV,all wheel drive,1952.71515285,2.8498799999999997,0.52,0.35,2.6,0.0,0.19,2873.4203474187752,0.4180312500000001,1464.5363646375001,2.2759023901744118,1.8021801033255034,647.0
Lincoln Navigator,gas,SUV,four wheel drive,2655.78332635,3.1115,0.52,0.35,2.6,0.0,0.19,3907.9851647240253,0.4180312500000001,1991.8374947625002,3.009741187790395,2.3932487977121397,834.0
Maserati Ghibli,gas,Sedan,rear wheel drive,1809.8335563,2.9972,0.55,0.27,2.2,0.0,0.22000000000000003,2556.220251734991,0.545707649592447,2628.300490374374,2.413600361808177,1.7594609799325907,759.0
Maserati Levante,gas,SUV,all wheel drive,2109.2045205,3.0048199999999996,0.52,0.35,2.6,0.0,0.19,3103.69445191575,0.4180312500000001,1581.903390375,2.4392407031921644,1.9337405546567255,759.0
Maserati Quattroporte,gas,Sedan,rear wheel drive,1900.09843793,3.16992,0.55,0.27,2.2,0.0,0.22000000000000003,2689.5961543626267,0.5457090675535581,2764.1612828759053,2.5237102920448975,1.84139897521662,759.0
Mazda 3,gas,Sedan,front wheel drive,1392.98216827,2.7254199999999997,0.55,0.27,2.2,0.0,0.22000000000000003,2141.222773274951,0.545772762820093,2162.0064613173313,2.061077875409476,1.5008442903088686,475.0
Mazda 6,gas,Sedan,front wheel drive,1624.76786934,2.82956,0.55,0.27,2.2,0.0,0.22000000000000003,2493.4179999122794,0.5457677319456986,2518.434021925973,2.3513003845150733,1.717012800932436,590.0
Mazda CX-3,gas,SUV,all wheel drive,1358.05555578,2.57048,0.52,0.35,2.6,0.0,0.19,1998.3787503302701,0.4180312500000001,1018.5416668350001,1.655216800706959,1.3022503882668721,428.0
Mazda CX-30,gas,SUV,all wheel drive,1520.89521661,2.6543,0.52,0.35,2.6,0.0,0.19,2237.997311241615,0.4180312500000001,1140.6714124575,1.8251833351225326,1.439149524579648,457.0
Mazda CX-5,gas,SUV,all wheel drive,1668.76632923,2.69748,0.52,0.35,2.6,0.0,0.19,2455.589653461945,0.4180312500000001,1251.5747469225,1.9795262048146676,1.5634646177216138,550.0
Mazda CX-9,gas,SUV,front wheel drive,1916.42776325,2.92862,0.52,0.35,2.6,0.0,0.19,2932.9918413632836,0.8361017657921288,2966.886088070499,2.8507621626231465,2.04733196255173,683.0
Mazda MX-5 Miata,gas,Convertible,rear wheel drive,1089.98246511,2.30886,0.53,0.31,2.1,0.0,0.2,1522.7857646125137,0.5980519318439638,1567.970500084204,1.5832907976437993,1.1347945399559154,428.0
Mazda MX-5 Miata RF,gas,Convertible,rear wheel drive,1112.20849124,2.30886,0.53,0.31,2.1,0.0,0.2,1553.8371597294563,0.5980530172009503,1599.9523209852625,1.609006341690357,1.1539005176521635,428.0
McLaren 600LT Spider,gas,Convertible,rear wheel drive,1296.82058583,2.6695399999999996,0.53,0.31,2.1,0.0,0.2,1824.2199140868436,0.5980605945687255,1875.882594747007,1.8323424777031685,1.3200512289527584,683.0
McLaren 720S,gas,Coupe,rear wheel drive,1423.82644943,2.6695399999999996,0.52,0.26,2.0,0.0,0.19,2003.7383774145824,0.4777167844319351,2059.624178454631,1.9242028283561163,1.4054512040453468,683.0
McLaren 720S Spider,gas,Convertible,rear wheel drive,1472.81442539,2.667,0.53,0.31,2.1,0.0,0.2,2071.701154374916,0.5980660497051815,2130.442805765855,2.037218338022175,1.4722977594571016,683.0
McLaren GT,gas,Coupe,rear wheel drive,1534.95658008,2.67462,0.52,0.26,2.0,0.0,0.19,2160.3098689132066,0.4777191890325513,2220.556235243308,2.0537921537153805,1.5017613085094466,683.0
Mercedes-Benz A-Class,gas,Sedan,front wheel drive,1490.05093545,2.72796,0.55,0.27,2.2,0.0,0.22000000000000003,2290.336903358136,0.5457704654584357,2312.556865536864,2.183872395699704,1.5923366746972893,485.0
Mercedes-Benz AMG GT,gas,Convertible,rear wheel drive,1699.15701802,2.6289,0.53,0.31,2.1,0.0,0.2,2388.5547371982966,0.598071404348829,2456.651942170096,2.299589655529097,1.667245416615407,712.0
Mercedes-Benz C-Class,gas,Convertible,all wheel drive,1919.14931747,2.83972,0.53,0.31,2.1,0.0,0.2,2824.0282206571046,0.29905312500000003,1439.3619881025,2.184966339649441,1.7492855342330815,626.0
Mercedes-Benz CLA-Class,gas,Sedan,all wheel drive,1589.84125685,2.72796,0.55,0.27,2.2,0.0,0.22000000000000003,2339.4514094547753,0.27286875000000005,1192.3809426375,1.8289431425228755,1.4670060017715323,485.0
Mercedes-Benz E-Class,gas,Wagon,all wheel drive,2143.22394825,2.93878,0.56,0.29,2.2,0.0,0.23000000000000004,3153.754039849875,0.29308125,1607.4179611875,2.4160420160848686,1.9364262932037644,759.0
Mercedes-Benz G-Class,gas,SUV,four wheel drive,2651.24740265,2.89052,0.52,0.35,2.6,0.0,0.19,3901.310552999475,0.4180312500000001,1988.4355519874998,3.0050067439348096,2.389435451296743,949.0
Mercedes-Benz GLA-Class,gas,SUV,front wheel drive,1495.04045152,2.70002,0.52,0.35,2.6,0.0,0.19,2295.867558596495,0.8361128339575823,2320.9677941680884,2.3254881719279177,1.6561854658226758,532.0
Mercedes-Benz GLB-Class,gas,SUV,front wheel drive,1650.16904206,2.82956,0.52,0.35,2.6,0.0,0.19,2529.043706845426,0.8361081018547017,2557.6306669483097,2.517790052734398,1.7993606549622436,572.0
Mercedes-Benz GLC-Class,gas,SUV,all wheel drive,1901.00562267,2.87274,0.52,0.35,2.6,0.0,0.19,2797.329773758905,0.4180312500000001,1425.7542170025001,2.2219297302207224,1.7587079541899706,626.0
Mercedes-Benz GLC-Class Coupe,gas,SUV,all wheel drive,1920.96368695,2.87274,0.52,0.35,2.6,0.0,0.19,2826.698065346925,0.4180312500000001,1440.7227652125,2.242761283185305,1.77548667841772,626.0
Mercedes-Benz GLE-Class,gas,SUV,all wheel drive,2130.06976952,2.99466,0.52,0.35,2.6,0.0,0.19,3134.3976658486804,0.4180312500000001,1597.5523271400002,2.4610191449278664,1.9512819481675552,809.0
Mercedes-Benz Maybach,gas,Sedan,all wheel drive,2345.0725529,3.3655,0.55,0.27,2.2,0.0,0.22000000000000003,3450.77426159235,0.27286875000000005,1758.804414675,2.617228044478108,2.101928179935245,759.0
Mercedes-Benz S-Class,gas,Sedan,all wheel drive,2185.86163103,3.16484,0.55,0.27,2.2,0.0,0.22000000000000003,3216.495390060645,0.27286875000000005,1639.3962232724998,2.451049065147004,1.9680797207547867,759.0
Mercedes-Benz SL-Class,gas,Convertible,rear wheel drive,1734.9908152500002,2.58572,0.53,0.31,2.1,0.0,0.2,2437.1082885511655,0.5980721239857701,2506.9702093835267,2.339870103090377,1.6971464874189297,712.0
Mercedes-Benz SLC-Class,gas,Convertible,rear wheel drive,1599.82028899,2.43078,0.53,0.31,2.1,0.0,0.2,2240.7512099662626,0.5980692408640155,2306.279426383756,2.1776107462651577,1.5764594590567051,572.0
Mitsubishi Eclipse Cross,gas,SUV,all wheel drive,1554.91464436,2.6695399999999996,0.52,0.35,2.6,0.0,0.19,2288.05689917574,0.4180312500000001,1166.18598327,1.8606916640394355,1.4677496226951299,568.0
Mitsubishi Mirage G4,gas,Sedan,front wheel drive,985.20262764,2.55016,0.55,0.27,2.2,0.0,0.22000000000000003,1519.0620298903405,0.545787359975322,1532.940994715621,1.5485265929900933,1.1190272936500731,331.0
