Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Volkswagen Jetta,gas,Sedan,front wheel drive,1345.80856179,2.68478,0.55,0.27,2.2,475.0
Volkswagen Passat,gas,Sedan,front wheel drive,1508.19463025,2.80416,0.55,0.27,2.2,665.0
Volkswagen Tiguan,gas,SUV,front wheel drive,1704.1465340900002,2.7889199999999996,0.52,0.35,2.6,550.0
Volvo S60,gas,Sedan,front wheel drive,1658.78729709,2.87274,0.55,0.27,2.2,521.0
Volvo V60,gas,Wagon,front wheel drive,1793.9578233500001,2.87274,0.56,0.29,2.2,521.0
Volvo V90 Cross Country,gas,Wagon,all wheel drive,1982.1986569,2.9413199999999997,0.56,0.29,2.2,572.0
Volvo XC40,gas,SUV,front wheel drive,1621.13913038,2.70256,0.52,0.35,2.6,511.0
Volvo XC60,gas,SUV,all wheel drive,1861.99667885,2.8651199999999997,0.52,0.35,2.6,676.0
Volvo XC90,gas,SUV,all wheel drive,1962.6941849900002,2.9844999999999997,0.52,0.35,2.6,676.0
Audi RS 5,gas,Coupe,all wheel drive,1799.85452416,2.76606,0.52,0.26,2.0,550.0
BMW 3 Series Gran Turismo,gas,Hatchback,all wheel drive,1822.08055029,2.921,0.54,0.3,2.1,568.0
BMW 6 Series Gran Coupe,gas,Sedan,rear wheel drive,1889.2122210500002,2.9692600000000002,0.55,0.27,2.2,665.0
BMW 6 Series Gran Turismo,gas,Hatchback,all wheel drive,2024.83633968,3.07086,0.54,0.3,2.1,647.0
BMW ALPINA B6 Gran Coupe,gas,Sedan,all wheel drive,2168.1715286000003,2.9692600000000002,0.55,0.27,2.2,665.0
Buick Cascada,gas,Convertible,front wheel drive,1804.84404023,2.69494,0.53,0.31,2.1,514.0
Buick LaCrosse,gas,Sedan,front wheel drive,1741.7947008,2.90576,0.55,0.27,2.2,568.0
Cadillac ATS Coupe,gas,Coupe,rear wheel drive,1550.37872066,2.77622,0.52,0.26,2.0,575.0
Cadillac ATS-V,gas,Coupe,rear wheel drive,1725.0117831100001,2.77622,0.52,0.26,2.0,575.0
Cadillac CTS,gas,Sedan,all wheel drive,1730.0012991800002,2.91084,0.55,0.27,2.2,683.0
Cadillac CTS-V,gas,Sedan,rear wheel drive,1878.32600417,2.91084,0.55,0.27,2.2,683.0
Cadillac XT5,gas,SUV,front wheel drive,1807.5655944500002,2.8575,0.52,0.35,2.6,698.0
Cadillac XTS,gas,Sedan,front wheel drive,1823.8949197700001,2.83718,0.55,0.27,2.2,683.0
Chevrolet Cruze,gas,Sedan,front wheel drive,1301.8101019,2.70002,0.55,0.27,2.2,493.0
Chevrolet Silverado 1500 LD,gas,Truck (Double Cab),four wheel drive,2429.44073372,3.6449,0.7,0.42,2.8,935.0
Ferrari 488 GTB,gas,Coupe,rear wheel drive,1475.0823872400001,2.6492199999999997,0.52,0.26,2.0,741.0
Ferrari 488 Spider,gas,Convertible,rear wheel drive,1524.97754794,2.6492199999999997,0.53,0.31,2.1,816.0
Ferrari Portofino,gas,Convertible,rear wheel drive,1664.23040553,2.6695399999999996,0.53,0.31,2.1,759.0
FIAT 500,gas,Hatchback,front wheel drive,1139.4240334400001,2.30124,0.54,0.3,2.1,378.0
Ford Escape,gas,SUV,front wheel drive,1611.16009824,2.68986,0.52,0.35,2.6,565.0
Ford Fiesta,gas,Sedan,front wheel drive,1169.3611298600001,2.4892,0.55,0.27,2.2,446.0
Ford Flex,gas,Wagon,all wheel drive,2103.30781969,2.99466,0.56,0.29,2.2,669.0
Ford Taurus,gas,Sedan,all wheel drive,1962.6941849900002,2.86766,0.55,0.27,2.2,683.0
Genesis G90,gas,Sedan,rear wheel drive,2100.1326731,3.15976,0.55,0.27,2.2,788.0
GMC Sierra 1500 Limited,gas,Truck (Double Cab),rear wheel drive,2314.6818641100003,3.6449,0.7,0.42,2.8,935.0
Hyundai Santa Fe XL,gas,SUV,front wheel drive,1822.08055029,2.79908,0.52,0.35,2.6,676.0
INFINITI Q70,gas,Sedan,all wheel drive,1840.22424509,2.90068,0.55,0.27,2.2,719.0
INFINITI QX30,gas,SUV,front wheel drive,1535.8637648200001,2.70002,0.52,0.35,2.6,475.0
Jaguar XJ-Series,gas,Sedan,rear wheel drive,1764.9279116700002,3.03276,0.55,0.27,2.2,759.0
Kia Cadenza,gas,Sedan,front wheel drive,1710.0432349,2.85496,0.55,0.27,2.2,665.0
Lincoln MKC,gas,SUV,front wheel drive,1728.64052207,2.68986,0.52,0.35,2.6,565.0
Maserati GranTurismo Convertible,gas,Convertible,rear wheel drive,1872.8828957300002,2.9413199999999997,0.53,0.31,2.1,683.0
McLaren 570GT,gas,Coupe,rear wheel drive,1349.89089312,2.6695399999999996,0.52,0.26,2.0,683.0
McLaren 600LT,gas,Coupe,rear wheel drive,1358.05555578,2.6695399999999996,0.52,0.26,2.0,683.0
Mercedes-Benz GLE-Class Coupe,gas,SUV,all wheel drive,2249.8181552,2.91592,0.52,0.35,2.6,863.0
Mercedes-Benz GLS-Class,gas,SUV,all wheel drive,2609.97049698,3.0759399999999997,0.52,0.35,2.6,949.0
MINI Clubman,gas,Hatchback,front wheel drive,1408.40430885,2.6695399999999996,0.54,0.3,2.1,475.0
MINI Convertible,gas,Convertible,front wheel drive,1295.0062163500002,2.49428,0.53,0.31,2.1,417.0
MINI Countryman,gas,Wagon,front wheel drive,1496.8548210000001,2.6695399999999996,0.56,0.29,2.2,579.0
MINI Hardtop 2 Door,gas,Hatchback,front wheel drive,1190.67997125,2.49428,0.54,0.3,2.1,417.0
MINI Hardtop 4 Door,gas,Hatchback,front wheel drive,1247.3790175000001,2.5679399999999997,0.54,0.3,2.1,417.0
Mitsubishi Mirage,gas,Hatchback,front wheel drive,940.2969830100001,2.4511,0.54,0.3,2.1,331.0
Nissan Versa Note,gas,Hatchback,front wheel drive,1122.1875233800001,2.60096,0.54,0.3,2.1,388.0
Volkswagen Atlas,gas,SUV,front wheel drive,1924.1388335400002,2.9794199999999997,0.52,0.35,2.6,669.0
Volkswagen Beetle,gas,Hatchback,front wheel drive,1381.1887666500002,2.54254,0.54,0.3,2.1,521.0
Volkswagen Beetle Convertible,gas,Convertible,front wheel drive,1469.18568643,2.54254,0.53,0.31,2.1,521.0
Volkswagen Golf,gas,Hatchback,front wheel drive,1335.82952965,2.63652,0.54,0.3,2.1,475.0
Volkswagen Golf Alltrack,gas,Wagon,all wheel drive,1539.9460961500001,2.6289,0.56,0.29,2.2,521.0
Volkswagen Golf R,gas,Hatchback,all wheel drive,1529.96706401,2.6289,0.54,0.3,2.1,521.0
Volkswagen Golf SportWagen,gas,Wagon,front wheel drive,1350.7980778600001,2.6289,0.56,0.29,2.2,475.0
Volkswagen Jetta GLI,gas,Sedan,front wheel drive,1459.20665429,2.6822399999999997,0.55,0.27,2.2,475.0
Volvo S90,gas,Sedan,front wheel drive,1755.4024719000001,3.0606999999999998,0.55,0.27,2.2,521.0
Volvo V90,gas,Wagon,front wheel drive,1767.64946589,2.9413199999999997,0.56,0.29,2.2,521.0
Aston Martin Vanquish S,gas,Coupe,rear wheel drive,1739.0731465800002,2.74066,0.52,0.26,2.0,737.0
Audi A6,gas,Sedan,front wheel drive,1725.0117831100001,2.91084,0.55,0.27,2.2,712.0
Audi A7,gas,Sedan,all wheel drive,1974.9411789800001,2.91338,0.55,0.27,2.2,712.0
Audi A8,gas,Sedan,all wheel drive,2024.83633968,3.12166,0.55,0.27,2.2,780.0
Audi RS 7,gas,Sedan,all wheel drive,2039.8048878900001,2.91592,0.55,0.27,2.2,712.0
Audi S6,gas,Sedan,all wheel drive,2034.81537182,2.91592,0.55,0.27,2.2,712.0
Audi S7,gas,Sedan,all wheel drive,2034.81537182,2.91592,0.55,0.27,2.2,712.0
Audi S8,gas,Sedan,all wheel drive,2125.0802534500003,2.99466,0.55,0.27,2.2,780.0
BMW 6 Series,gas,Convertible,rear wheel drive,1927.7675725000001,2.85496,0.53,0.31,2.1,665.0
Cadillac ATS,gas,Sedan,all wheel drive,1606.62417454,2.77622,0.55,0.27,2.2,575.0
Ferrari 812 Superfast,gas,Coupe,rear wheel drive,1630.2109777800001,2.7203399999999998,0.52,0.26,2.0,874.0
Ford Focus,gas,Sedan,front wheel drive,1328.11845936,2.6492199999999997,0.55,0.27,2.2,446.0
Jeep Wrangler JK,gas,SUV,four wheel drive,1936.3858275300001,2.42316,0.52,0.35,2.6,669.0
Kia K900,gas,Sedan,rear wheel drive,1949.0864138900001,3.04546,0.55,0.27,2.2,712.0
Lincoln MKT,gas,Wagon,front wheel drive,2132.7913237400003,2.99466,0.56,0.29,2.2,669.0
Lincoln MKX,gas,SUV,front wheel drive,1890.57299816,2.8498799999999997,0.52,0.35,2.6,647.0
Maserati GranTurismo,gas,Coupe,rear wheel drive,1872.8828957300002,2.9413199999999997,0.52,0.26,2.0,816.0
Mercedes-Benz CLS-Class,gas,Sedan,all wheel drive,2004.8782754000001,2.87528,0.55,0.27,2.2,759.0
Toyota Corolla iM,gas,Hatchback,front wheel drive,1374.83847347,2.60096,0.54,0.3,2.1,503.0
